Round,Date,Venue,Team,Opponent,Score,OpponentScore,Possession,Shots,ShotsOnTarget,Saves,YellowCards,RedCards,Fouls,Corners,Crosses,Interceptions,Venue Role,Result
Group stage,2026-06-23,"Reliant Stadium, Houston",Uzbekistan,Portugal,0.0,5.0,34,7,2,4,1,0,15,2,8,14,Away,Loss
Group stage,2026-06-23,"Gillette Stadium, Foxborough",Ghana,England,0.0,0.0,21,2,1,3,1,0,24,2,5,8,Away,Draw
Group stage,2026-06-23,"BMO Field, Toronto",Croatia,Panama,1.0,0.0,58,6,2,1,1,0,12,2,17,5,Away,Win
Group stage,2026-06-23,"Estadio Akron, Zapopan",Congo DR,Colombia,0.0,1.0,37,7,1,8,1,0,16,4,14,7,Away,Loss
Group stage,2026-06-24,"BC Place Stadium, Vancouver",Canada,Switzerland,1.0,2.0,45,13,7,2,2,0,13,7,26,13,Away,Loss
Group stage,2026-06-24,"Lumen Field, Seattle",Qatar,Bosnia–Herz,1.0,3.0,46,9,3,3,1,0,14,5,17,4,Away,Loss
Group stage,2026-06-24,"Hard Rock Stadium, Miami Gardens",Brazil,Scotland,3.0,0.0,54,21,9,5,2,0,11,6,12,13,Away,Win
Group stage,2026-06-24,"Mercedes-Benz Stadium, Atlanta",Haiti,Morocco,2.0,4.0,31,9,2,8,3,0,18,1,3,14,Away,Loss
Group stage,2026-06-24,"Estadio BBVA, Guadalupe",Korea Republic,South Africa,0.0,1.0,69,8,3,3,1,0,9,6,33,4,Away,Loss
Group stage,2026-06-24,"Estadio Banorte, Coyoacán",Mexico,Czechia,3.0,0.0,48,11,5,1,1,0,13,1,13,7,Away,Win
Group stage,2026-06-25,"Lincoln Financial Field, Philadelphia",Côte d'Ivoire,Curaçao,2.0,0.0,63,7,3,2,1,0,6,6,16,12,Away,Win
Group stage,2026-06-25,"MetLife Stadium, East Rutherford",Germany,Ecuador,1.0,2.0,61,11,3,1,1,0,10,2,16,4,Away,Loss
Group stage,2026-06-25,"GEHA Field at Arrowhead Stadium, Kansas City",Netherlands,Tunisia,3.0,1.0,72,20,7,3,0,0,10,6,28,10,Away,Win
Group stage,2026-06-25,"AT&T Stadium, Arlington",Sweden,Japan,1.0,1.0,48,11,5,2,2,0,11,8,16,5,Away,Draw
Group stage,2026-06-25,"SoFi Stadium, Inglewood",United States,Türkiye,2.0,3.0,53,18,7,0,1,0,13,9,18,11,Away,Loss
Group stage,2026-06-25,"Levi's Stadium, Santa Clara",Australia,Paraguay,0.0,0.0,56,12,5,2,1,0,6,3,13,7,Away,Draw
Group stage,2026-06-26,"Gillette Stadium, Foxborough",France,Norway,4.0,1.0,57,18,9,2,1,0,11,5,9,11,Away,Win
Group stage,2026-06-26,"BMO Field, Toronto",Iraq,Senegal,0.0,5.0,31,6,1,7,2,1,11,3,6,7,Away,Loss
Group stage,2026-06-26,"Estadio Akron, Zapopan",Spain,Uruguay,1.0,0.0,67,6,1,1,1,0,14,6,12,9,Away,Win
Group stage,2026-06-26,"Reliant Stadium, Houston",Saudi Arabia,Cabo Verde,0.0,0.0,49,7,3,2,3,0,16,2,10,10,Away,Draw
Group stage,2026-06-26,"Lumen Field, Seattle",IR Iran,Egypt,1.0,1.0,39,13,4,2,4,0,16,2,10,8,Away,Draw
Group stage,2026-06-26,"BC Place Stadium, Vancouver",Belgium,New Zealand,5.0,1.0,55,35,10,1,0,0,7,8,16,10,Away,Win
Group stage,2026-06-27,"Lincoln Financial Field, Philadelphia",Ghana,Croatia,1.0,2.0,47,6,1,2,1,0,13,2,12,10,Away,Loss
Group stage,2026-06-27,"MetLife Stadium, East Rutherford",England,Panama,2.0,0.0,67,17,6,2,1,0,13,7,25,5,Away,Win
Group stage,2026-06-27,"Mercedes-Benz Stadium, Atlanta",Uzbekistan,Congo DR,1.0,3.0,42,3,1,1,2,0,16,4,16,12,Away,Loss
Group stage,2026-06-27,"Hard Rock Stadium, Miami Gardens",Portugal,Colombia,0.0,0.0,45,13,2,6,0,0,6,2,14,11,Away,Draw
Group stage,2026-06-27,"AT&T Stadium, Arlington",Argentina,Jordan,3.0,1.0,73,12,4,0,0,0,7,6,5,12,Away,Win
